t	T9	h	phie
1.412087e-01	2.634158e+01	5.715593e-05	8.113882e-10
1.440232e-01	2.608142e+01	5.715204e-05	8.128665e-10
1.468944e-01	2.582383e+01	5.714807e-05	8.143545e-10
1.498234e-01	2.556878e+01	5.714402e-05	8.158519e-10
1.528113e-01	2.531625e+01	5.713988e-05	8.173589e-10
1.558595e-01	2.506622e+01	5.713567e-05	8.188753e-10
1.589690e-01	2.481866e+01	5.713137e-05	8.204011e-10
1.621411e-01	2.457354e+01	5.712699e-05	8.219362e-10
1.653771e-01	2.433084e+01	5.712251e-05	8.234804e-10
1.686783e-01	2.409054e+01	5.711795e-05	8.250338e-10
1.720460e-01	2.385262e+01	5.711330e-05	8.265962e-10
1.754816e-01	2.361704e+01	5.710855e-05	8.281675e-10
1.789864e-01	2.338379e+01	5.710371e-05	8.297476e-10
1.825618e-01	2.315285e+01	5.709878e-05	8.313364e-10
1.862092e-01	2.292418e+01	5.709374e-05	8.329337e-10
1.899302e-01	2.269777e+01	5.708861e-05	8.345395e-10
1.937262e-01	2.247361e+01	5.708337e-05	8.361537e-10
1.975987e-01	2.225165e+01	5.707803e-05	8.377760e-10
2.015493e-01	2.203189e+01	5.707258e-05	8.394064e-10
2.055795e-01	2.181429e+01	5.706702e-05	8.410447e-10
2.096910e-01	2.159885e+01	5.706135e-05	8.426908e-10
2.138854e-01	2.138553e+01	5.705557e-05	8.443445e-10
2.181644e-01	2.117433e+01	5.704967e-05	8.460057e-10
2.225298e-01	2.096520e+01	5.704366e-05	8.476741e-10
2.269832e-01	2.075815e+01	5.703752e-05	8.493497e-10
2.315265e-01	2.055314e+01	5.703127e-05	8.510323e-10
2.361615e-01	2.035015e+01	5.702488e-05	8.527218e-10
2.408900e-01	2.014917e+01	5.701838e-05	8.544178e-10
2.457139e-01	1.995017e+01	5.701174e-05	8.561204e-10
2.506353e-01	1.975314e+01	5.700497e-05	8.578293e-10
2.556560e-01	1.955805e+01	5.699806e-05	8.595443e-10
2.607781e-01	1.936490e+01	5.699102e-05	8.612652e-10
2.660037e-01	1.917365e+01	5.698384e-05	8.629920e-10
2.713348e-01	1.898428e+01	5.697652e-05	8.647243e-10
2.767736e-01	1.879679e+01	5.696905e-05	8.664621e-10
2.823223e-01	1.861116e+01	5.696143e-05	8.682051e-10
2.879832e-01	1.842735e+01	5.695366e-05	8.699532e-10
2.937584e-01	1.824536e+01	5.694573e-05	8.717061e-10
2.996505e-01	1.806517e+01	5.693765e-05	8.734638e-10
3.056616e-01	1.788676e+01	5.692941e-05	8.752260e-10
3.117943e-01	1.771011e+01	5.692100e-05	8.769925e-10
3.180511e-01	1.753520e+01	5.691243e-05	8.787632e-10
3.244344e-01	1.736202e+01	5.690369e-05	8.805379e-10
3.309468e-01	1.719056e+01	5.689477e-05	8.823163e-10
3.375911e-01	1.702078e+01	5.688568e-05	8.840985e-10
3.443698e-01	1.685269e+01	5.687640e-05	8.858841e-10
3.512858e-01	1.668625e+01	5.686694e-05	8.876730e-10
3.583417e-01	1.652146e+01	5.685730e-05	8.894650e-10
3.655406e-01	1.635829e+01	5.684746e-05	8.912600e-10
3.728853e-01	1.619674e+01	5.683743e-05	8.930577e-10
3.803788e-01	1.603678e+01	5.682721e-05	8.948581e-10
3.880242e-01	1.587841e+01	5.681677e-05	8.966610e-10
3.958245e-01	1.572160e+01	5.680614e-05	8.984663e-10
4.037829e-01	1.556633e+01	5.679529e-05	9.002737e-10
4.119028e-01	1.541260e+01	5.678423e-05	9.020831e-10
4.201873e-01	1.526039e+01	5.677295e-05	9.038944e-10
4.286398e-01	1.510968e+01	5.676144e-05	9.057075e-10
4.372639e-01	1.496046e+01	5.674971e-05	9.075222e-10
4.460630e-01	1.481272e+01	5.673775e-05	9.093384e-10
4.550407e-01	1.466643e+01	5.672555e-05	9.111560e-10
4.642007e-01	1.452159e+01	5.671312e-05	9.129747e-10
4.735468e-01	1.437818e+01	5.670043e-05	9.147947e-10
4.830827e-01	1.423619e+01	5.668750e-05	9.166156e-10
4.928124e-01	1.409560e+01	5.667431e-05	9.184374e-10
5.027399e-01	1.395639e+01	5.666087e-05	9.202601e-10
5.128692e-01	1.381857e+01	5.664716e-05	9.220835e-10
5.232045e-01	1.368210e+01	5.663318e-05	9.239075e-10
5.337501e-01	1.354698e+01	5.661892e-05	9.257320e-10
5.445103e-01	1.341320e+01	5.660439e-05	9.275571e-10
5.554895e-01	1.328074e+01	5.658957e-05	9.293825e-10
5.666922e-01	1.314958e+01	5.657446e-05	9.312083e-10
5.781231e-01	1.301973e+01	5.655905e-05	9.330343e-10
5.897869e-01	1.289115e+01	5.654334e-05	9.348606e-10
6.016884e-01	1.276385e+01	5.652733e-05	9.366871e-10
6.138325e-01	1.263780e+01	5.651100e-05	9.385137e-10
6.262243e-01	1.251300e+01	5.649435e-05	9.403405e-10
6.388688e-01	1.238943e+01	5.647738e-05	9.421674e-10
6.517714e-01	1.226708e+01	5.646007e-05	9.439943e-10
6.649373e-01	1.214594e+01	5.644243e-05	9.458214e-10
6.783721e-01	1.202599e+01	5.642444e-05	9.476485e-10
6.920814e-01	1.190723e+01	5.640611e-05	9.494757e-10
7.060708e-01	1.178965e+01	5.638741e-05	9.513030e-10
7.203462e-01	1.167322e+01	5.636836e-05	9.531304e-10
7.349135e-01	1.155795e+01	5.634893e-05	9.549579e-10
7.497789e-01	1.144381e+01	5.632913e-05	9.567857e-10
7.649485e-01	1.133081e+01	5.630894e-05	9.586137e-10
7.804287e-01	1.121891e+01	5.628836e-05	9.604421e-10
7.962259e-01	1.110813e+01	5.626738e-05	9.622708e-10
8.123469e-01	1.099844e+01	5.624599e-05	9.641000e-10
8.287983e-01	1.088983e+01	5.622419e-05	9.659297e-10
8.455871e-01	1.078229e+01	5.620197e-05	9.677601e-10
8.627204e-01	1.067582e+01	5.617933e-05	9.695912e-10
8.802054e-01	1.057040e+01	5.615624e-05	9.714231e-10
8.980495e-01	1.046602e+01	5.613271e-05	9.732560e-10
9.162601e-01	1.036267e+01	5.610873e-05	9.750900e-10
9.348451e-01	1.026034e+01	5.608428e-05	9.769253e-10
9.538123e-01	1.015902e+01	5.605937e-05	9.787619e-10
9.731697e-01	1.005871e+01	5.603398e-05	9.806000e-10
9.929256e-01	9.959383e+00	5.600810e-05	9.824399e-10
1.012975e+00	9.861586e+00	5.598188e-05	9.842714e-10
1.033083e+00	9.766393e+00	5.595561e-05	9.860739e-10
1.053239e+00	9.673746e+00	5.592932e-05	9.878475e-10
1.073488e+00	9.583324e+00	5.590295e-05	9.895974e-10
1.093843e+00	9.494991e+00	5.587648e-05	9.913254e-10
1.114294e+00	9.408705e+00	5.584992e-05	9.930315e-10
1.134836e+00	9.324412e+00	5.582329e-05	9.947161e-10
1.155467e+00	9.242038e+00	5.579657e-05	9.963799e-10
1.176189e+00	9.161509e+00	5.576978e-05	9.980238e-10
1.197000e+00	9.082762e+00	5.574292e-05	9.996483e-10
1.217898e+00	9.005737e+00	5.571598e-05	1.001254e-09
1.238884e+00	8.930375e+00	5.568897e-05	1.002842e-09
1.259955e+00	8.856620e+00	5.566189e-05	1.004412e-09
1.281110e+00	8.784420e+00	5.563475e-05	1.005965e-09
1.302350e+00	8.713724e+00	5.560754e-05	1.007501e-09
1.323671e+00	8.644483e+00	5.558027e-05	1.009022e-09
1.345075e+00	8.576652e+00	5.555293e-05	1.010527e-09
1.366559e+00	8.510184e+00	5.552553e-05	1.012017e-09
1.388122e+00	8.445039e+00	5.549808e-05	1.013492e-09
1.409765e+00	8.381176e+00	5.547057e-05	1.014953e-09
1.431485e+00	8.318555e+00	5.544300e-05	1.016401e-09
1.453281e+00	8.257140e+00	5.541538e-05	1.017835e-09
1.475154e+00	8.196895e+00	5.538770e-05	1.019256e-09
1.497101e+00	8.137786e+00	5.535998e-05	1.020664e-09
1.519121e+00	8.079779e+00	5.533221e-05	1.022061e-09
1.541214e+00	8.022845e+00	5.530439e-05	1.023445e-09
1.563378e+00	7.966953e+00	5.527653e-05	1.024818e-09
1.585612e+00	7.912075e+00	5.524862e-05	1.026180e-09
1.607915e+00	7.858184e+00	5.522067e-05	1.027531e-09
1.630285e+00	7.805253e+00	5.519269e-05	1.028871e-09
1.652721e+00	7.753258e+00	5.516467e-05	1.030201e-09
1.675220e+00	7.702177e+00	5.513661e-05	1.031521e-09
1.697780e+00	7.651986e+00	5.510852e-05	1.032830e-09
1.720399e+00	7.602667e+00	5.508041e-05	1.034130e-09
1.743074e+00	7.554200e+00	5.505227e-05	1.035420e-09
1.765802e+00	7.506567e+00	5.502412e-05	1.036700e-09
1.788579e+00	7.459752e+00	5.499595e-05	1.037972e-09
1.811399e+00	7.413743e+00	5.496777e-05	1.039233e-09
1.834258e+00	7.368526e+00	5.493960e-05	1.040486e-09
1.857150e+00	7.324092e+00	5.491143e-05	1.041728e-09
1.880065e+00	7.280432e+00	5.488327e-05	1.042962e-09
1.902995e+00	7.237542e+00	5.485515e-05	1.044185e-09
1.925930e+00	7.195418e+00	5.482706e-05	1.045398e-09
1.948857e+00	7.154060e+00	5.479904e-05	1.046601e-09
1.971762e+00	7.113471e+00	5.477108e-05	1.047793e-09
1.994628e+00	7.073656e+00	5.474322e-05	1.048974e-09
2.017436e+00	7.034623e+00	5.471548e-05	1.050142e-09
2.040167e+00	6.996381e+00	5.468787e-05	1.051298e-09
2.062797e+00	6.958944e+00	5.466044e-05	1.052440e-09
2.085304e+00	6.922322e+00	5.463319e-05	1.053568e-09
2.107664e+00	6.886527e+00	5.460617e-05	1.054681e-09
2.129853e+00	6.851569e+00	5.457940e-05	1.055777e-09
2.151852e+00	6.817450e+00	5.455290e-05	1.056857e-09
2.173645e+00	6.784168e+00	5.452669e-05	1.057920e-09
2.195221e+00	6.751712e+00	5.450078e-05	1.058966e-09
2.216578e+00	6.720057e+00	5.447517e-05	1.059995e-09
2.237722e+00	6.689169e+00	5.444986e-05	1.061007e-09
2.258670e+00	6.658999e+00	5.442482e-05	1.062005e-09
2.279449e+00	6.629491e+00	5.440002e-05	1.062988e-09
2.300091e+00	6.600575e+00	5.437542e-05	1.063960e-09
2.320641e+00	6.572177e+00	5.435097e-05	1.064923e-09
2.341146e+00	6.544218e+00	5.432660e-05	1.065878e-09
2.361658e+00	6.516616e+00	5.430227e-05	1.066828e-09
2.382234e+00	6.489292e+00	5.427789e-05	1.067777e-09
2.402932e+00	6.462163e+00	5.425340e-05	1.068727e-09
2.423810e+00	6.435154e+00	5.422874e-05	1.069680e-09
2.444931e+00	6.408186e+00	5.420383e-05	1.070639e-09
2.466356e+00	6.381187e+00	5.417860e-05	1.071608e-09
2.488151e+00	6.354083e+00	5.415297e-05	1.072588e-09
2.510382e+00	6.326804e+00	5.412687e-05	1.073583e-09
2.533119e+00	6.299279e+00	5.410022e-05	1.074595e-09
2.556436e+00	6.271437e+00	5.407294e-05	1.075629e-09
2.580410e+00	6.243208e+00	5.404493e-05	1.076686e-09
2.605122e+00	6.214521e+00	5.401611e-05	1.077770e-09
2.630660e+00	6.185304e+00	5.398638e-05	1.078884e-09
2.657116e+00	6.155485e+00	5.395564e-05	1.080033e-09
2.684590e+00	6.124989e+00	5.392378e-05	1.081219e-09
2.713189e+00	6.093741e+00	5.389067e-05	1.082448e-09
2.743027e+00	6.061665e+00	5.385621e-05	1.083722e-09
2.774227e+00	6.028684e+00	5.382025e-05	1.085047e-09
2.806918e+00	5.994722e+00	5.378265e-05	1.086428e-09
2.841237e+00	5.959704e+00	5.374328e-05	1.087869e-09
2.877330e+00	5.923559e+00	5.370197e-05	1.089375e-09
2.915347e+00	5.886221e+00	5.365858e-05	1.090951e-09
2.955441e+00	5.847630e+00	5.361294e-05	1.092603e-09
2.997768e+00	5.807739e+00	5.356490e-05	1.094336e-09
3.042481e+00	5.766512e+00	5.351430e-05	1.096154e-09
3.089728e+00	5.723933e+00	5.346101e-05	1.098062e-09
3.139643e+00	5.680003e+00	5.340489e-05	1.100063e-09
3.192348e+00	5.634750e+00	5.334585e-05	1.102162e-09
3.247941e+00	5.588225e+00	5.328382e-05	1.104359e-09
3.306494e+00	5.540507e+00	5.321873e-05	1.106657e-09
3.368052e+00	5.491700e+00	5.315059e-05	1.109054e-09
3.432625e+00	5.441931e+00	5.307942e-05	1.111550e-09
3.500191e+00	5.391351e+00	5.300529e-05	1.114141e-09
3.570698e+00	5.340122e+00	5.292830e-05	1.116825e-09
3.644065e+00	5.288418e+00	5.284859e-05	1.119597e-09
3.720184e+00	5.236415e+00	5.276630e-05	1.122451e-09
3.798249e+00	5.184734e+00	5.268235e-05	1.125356e-09
3.878019e+00	5.133564e+00	5.259703e-05	1.128303e-09
3.959534e+00	5.082899e+00	5.251031e-05	1.131293e-09
4.042835e+00	5.032735e+00	5.242219e-05	1.134328e-09
4.127962e+00	4.983067e+00	5.233265e-05	1.137408e-09
4.214959e+00	4.933889e+00	5.224166e-05	1.140536e-09
4.303870e+00	4.885198e+00	5.214922e-05	1.143711e-09
4.394740e+00	4.836987e+00	5.205531e-05	1.146937e-09
4.487613e+00	4.789253e+00	5.195990e-05	1.150213e-09
4.582539e+00	4.741991e+00	5.186300e-05	1.153542e-09
4.679506e+00	4.695224e+00	5.176463e-05	1.156923e-09
4.777703e+00	4.649342e+00	5.166565e-05	1.160328e-09
4.877007e+00	4.604378e+00	5.156620e-05	1.163753e-09
4.977334e+00	4.560343e+00	5.146637e-05	1.167194e-09
5.078614e+00	4.517238e+00	5.136626e-05	1.170652e-09
5.180789e+00	4.475058e+00	5.126592e-05	1.174123e-09
5.283804e+00	4.433793e+00	5.116541e-05	1.177606e-09
5.387615e+00	4.393429e+00	5.106481e-05	1.181100e-09
5.492182e+00	4.353949e+00	5.096413e-05	1.184605e-09
5.597469e+00	4.315337e+00	5.086344e-05	1.188120e-09
5.703447e+00	4.277571e+00	5.076276e-05	1.191643e-09
5.810089e+00	4.240632e+00	5.066213e-05	1.195175e-09
5.917372e+00	4.204496e+00	5.056156e-05	1.198716e-09
6.025278e+00	4.169143e+00	5.046109e-05	1.202264e-09
6.133789e+00	4.134549e+00	5.036073e-05	1.205820e-09
6.242891e+00	4.100694e+00	5.026051e-05	1.209384e-09
6.352572e+00	4.067554e+00	5.016042e-05	1.212955e-09
6.462821e+00	4.035108e+00	5.006049e-05	1.216534e-09
6.573630e+00	4.003335e+00	4.996073e-05	1.220121e-09
6.684991e+00	3.972215e+00	4.986115e-05	1.223716e-09
6.796898e+00	3.941726e+00	4.976175e-05	1.227318e-09
6.909346e+00	3.911850e+00	4.966254e-05	1.230929e-09
7.022329e+00	3.882567e+00	4.956353e-05	1.234548e-09
7.135845e+00	3.853859e+00	4.946472e-05	1.238175e-09
7.249890e+00	3.825708e+00	4.936612e-05	1.241810e-09
7.364461e+00	3.798097e+00	4.926773e-05	1.245454e-09
7.479558e+00	3.771010e+00	4.916956e-05	1.249107e-09
7.595177e+00	3.744431e+00	4.907160e-05	1.252769e-09
7.711319e+00	3.718345e+00	4.897386e-05	1.256440e-09
7.827981e+00	3.692735e+00	4.887635e-05	1.260121e-09
7.945163e+00	3.667590e+00	4.877906e-05	1.263811e-09
8.062865e+00	3.642894e+00	4.868200e-05	1.267511e-09
8.181086e+00	3.618635e+00	4.858517e-05	1.271221e-09
8.299825e+00	3.594801e+00	4.848856e-05	1.274941e-09
8.419084e+00	3.571378e+00	4.839219e-05	1.278671e-09
8.538861e+00	3.548355e+00	4.829605e-05	1.282412e-09
8.659157e+00	3.525722e+00	4.820014e-05	1.286163e-09
8.779973e+00	3.503467e+00	4.810446e-05	1.289925e-09
8.901307e+00	3.481580e+00	4.800902e-05	1.293699e-09
9.023161e+00	3.460051e+00	4.791382e-05	1.297483e-09
9.145534e+00	3.438870e+00	4.781885e-05	1.301279e-09
9.268428e+00	3.418028e+00	4.772412e-05	1.305086e-09
9.391842e+00	3.397516e+00	4.762963e-05	1.308906e-09
9.515776e+00	3.377325e+00	4.753538e-05	1.312736e-09
9.640232e+00	3.357448e+00	4.744137e-05	1.316579e-09
9.765209e+00	3.337875e+00	4.734759e-05	1.320434e-09
9.890708e+00	3.318600e+00	4.725406e-05	1.324302e-09
1.001673e+01	3.299615e+00	4.716077e-05	1.328181e-09
1.014327e+01	3.280913e+00	4.706772e-05	1.332074e-09
1.027034e+01	3.262486e+00	4.697491e-05	1.335978e-09
1.039793e+01	3.244329e+00	4.688234e-05	1.339896e-09
1.052604e+01	3.226434e+00	4.679002e-05	1.343827e-09
1.065468e+01	3.208796e+00	4.669794e-05	1.347771e-09
1.078384e+01	3.191407e+00	4.660611e-05	1.351728e-09
1.091353e+01	3.174263e+00	4.651452e-05	1.355699e-09
1.104374e+01	3.157358e+00	4.642317e-05	1.359683e-09
1.117448e+01	3.140686e+00	4.633207e-05	1.363680e-09
1.130575e+01	3.124242e+00	4.624121e-05	1.367692e-09
1.143754e+01	3.108021e+00	4.615060e-05	1.371717e-09
1.156985e+01	3.092017e+00	4.606023e-05	1.375756e-09
1.170270e+01	3.076227e+00	4.597011e-05	1.379810e-09
1.183607e+01	3.060645e+00	4.588024e-05	1.383877e-09
1.196997e+01	3.045266e+00	4.579061e-05	1.387959e-09
1.210440e+01	3.030087e+00	4.570123e-05	1.392056e-09
1.223936e+01	3.015103e+00	4.561210e-05	1.396167e-09
1.237484e+01	3.000310e+00	4.552321e-05	1.400292e-09
1.251086e+01	2.985703e+00	4.543457e-05	1.404433e-09
1.264741e+01	2.971280e+00	4.534618e-05	1.408588e-09
1.278449e+01	2.957035e+00	4.525802e-05	1.412760e-09
1.292211e+01	2.942966e+00	4.517012e-05	1.416947e-09
1.306026e+01	2.929068e+00	4.508246e-05	1.421149e-09
1.319894e+01	2.915339e+00	4.499504e-05	1.425366e-09
1.333816e+01	2.901775e+00	4.490787e-05	1.429599e-09
1.347791e+01	2.888372e+00	4.482095e-05	1.433848e-09
1.361820e+01	2.875127e+00	4.473427e-05	1.438113e-09
1.375904e+01	2.862037e+00	4.464784e-05	1.442394e-09
1.390041e+01	2.849099e+00	4.456164e-05	1.446690e-09
1.404233e+01	2.836310e+00	4.447570e-05	1.451004e-09
1.418479e+01	2.823667e+00	4.438999e-05	1.455333e-09
1.432781e+01	2.811166e+00	4.430452e-05	1.459679e-09
1.447137e+01	2.798806e+00	4.421929e-05	1.464042e-09
1.461548e+01	2.786583e+00	4.413430e-05	1.468422e-09
1.476015e+01	2.774495e+00	4.404955e-05	1.472819e-09
1.490539e+01	2.762539e+00	4.396503e-05	1.477234e-09
1.505118e+01	2.750712e+00	4.388075e-05	1.481666e-09
1.519754e+01	2.739011e+00	4.379670e-05	1.486115e-09
1.534448e+01	2.727435e+00	4.371287e-05	1.490583e-09
1.549199e+01	2.715980e+00	4.362927e-05	1.495069e-09
1.564009e+01	2.704645e+00	4.354590e-05	1.499574e-09
1.578877e+01	2.693426e+00	4.346275e-05	1.504097e-09
1.593805e+01	2.682321e+00	4.337981e-05	1.508640e-09
1.608794e+01	2.671328e+00	4.329709e-05	1.513202e-09
